outcome	PGS	model	N	OR	lower_CI	upper_CI	p_value	domain	p_fdr
91b	Epilepsy	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1155	0.9785391581642	0.790365874298785	1.21151344611157	0.842185876648667	Drawing	0.987749295828522
91b	Seizure	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1155	1.06612697249463	0.871069362190042	1.30486362030097	0.534540336108415	Drawing	0.971891520197117
92b	Autism	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1152	1.01114234483382	0.887261946028506	1.15231904861068	0.868022495968587	Reading	0.987749295828522
92b	Educational attainment	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1152	1.28986957483124	1.12967980451608	1.47277442105644	0.000168436344894694	Reading	0.00844484895852169
92b	Intelligence	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1152	1.2760169079945	1.1162646196649	1.45863186990252	0.000354733446569058	Reading	0.00844484895852169
92b	Schizophrenia	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1152	0.892365455016616	0.748503323567755	1.06387784827909	0.204219130168537	Reading	0.619394230412881
92b	ADHD	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1152	0.940137791516216	0.820799966648303	1.07682639248413	0.372788151982142	Reading	0.894691564757141
92b	Bipolar disorder	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1152	1.08858178058284	0.954672656039731	1.24127394402672	0.205036023439685	Reading	0.619394230412881
92b	Major depression	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1152	0.996988891823565	0.862456913842356	1.15250609562771	0.967474996999646	Reading	0.987749295828522
92b	Obsessive-compulsive disorder	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1152	0.964925431566109	0.850190564109938	1.09514399216814	0.580398632233395	Reading	0.987749295828522
92b	Epilepsy	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1152	1.06566124854055	0.934403379980176	1.21535722255746	0.342984816766691	Reading	0.894691564757141
92b	Seizure	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1152	1.02142519433816	0.900636133279735	1.15841391331864	0.741294044043121	Reading	0.987749295828522
93b	Autism	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1147	1.19817090623841	1.01903305406157	1.40879975858903	0.0286583872735709	Computational	0.200159871962452
93b	Educational attainment	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1147	1.01126425976389	0.858352062963128	1.19141719022086	0.893470739855663	Computational	0.987749295828522
93b	Intelligence	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1147	1.29024761724959	1.09646313233335	1.51828079278467	0.00214763644268876	Computational	0.0322145466403315
93b	Schizophrenia	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1147	1.12909378738952	0.900771520763477	1.41528983913821	0.292184767736345	Computational	0.796867548371851
93b	ADHD	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1147	0.978118298069093	0.824068655568409	1.16096565322907	0.800244735160941	Computational	0.987749295828522
93b	Bipolar disorder	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1147	1.20594251784069	1.02467732387258	1.41927348488566	0.0242402872866181	Computational	0.200159871962452
93b	Major depression	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1147	1.01817207596669	0.848561941642508	1.22168379867673	0.846408063494641	Computational	0.987749295828522
93b	Obsessive-compulsive disorder	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1147	0.882645101840421	0.753864596456592	1.03342480793598	0.120814310865431	Computational	0.483257243461723
93b	Epilepsy	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1147	1.06261823310972	0.904590319549231	1.24825292172029	0.459701479434803	Computational	0.918769189445579
93b	Seizure	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1147	1.05862146453527	0.903567688235744	1.2402827367178	0.48080146264657	Computational	0.918769189445579
